,input,output
10,"['автор', 'гол', 'в', 'ворота', 'сборная', 'англия', ',', 'получивший', 'название', '«', 'гол', 'столетие', '»', ',', 'и', 'признанный', 'хороший', 'гол', 'в', 'история', 'чемпионат', 'мир', ';', 'в', 'тот', 'же', 'игра', 'забить', 'мяч', 'рука', ',', 'этот', 'случай', 'известный', 'как', '«', 'рука', 'бог', '»', '.']","[['гол', 'столетие', 'в', 'ворота', 'сборная', 'англия', 'быть', 'признанный', 'хороший', 'гол', 'в', 'история', 'чемпионат', 'мир', '.', 'мяч', ',', 'забитый', 'рука', ',', 'назвать', 'рука', 'бог', '.']]"
11,"['агрессия', ',', 'как', 'со', 'сторона', 'пациент', 'так', 'и', 'направленный', 'против', 'он', ',', 'обычно', 'случаться', 'в', 'контекст', 'сложный', 'социальный', 'взаимодействие', 'в', 'семья', ',', 'а', 'также', 'являться', 'проблема', 'в', 'условие', 'клиника', 'и', 'по', 'место', 'жительство', 'больной', '.']","[['агрессия', 'случаться', 'переть', 'сложный', 'взаимодействие', 'в', 'семья', ',', 'в', 'условие', 'клиника', ',', 'как', 'у', 'пациент', 'таки', 'и', 'против', 'он'], ['агрессия', ',', 'как', 'пациент', 'так', 'и', 'в', 'он', 'адрес', ',', 'обычно', 'случаться', 'из-за', 'сложный', 'отношение', 'в', 'семья', 'и', 'являться', 'проблема', 'в', 'клиника', 'по', 'место', 'жительство', 'больной', '.'], ['агрессия', ',', 'исходящий', 'от', 'пациент', 'или', 'направленный', 'в', 'он', 'адрес', ',', 'частый', 'всего', 'происходить', 'из-за', 'сложный', 'отношение', 'в', 'семья', '.', 'этот', 'проблема', 'проявляться', 'и', 'в', 'клиника', 'и', 'в', 'домашний', 'условие'], ['конфликт', 'в', 'медучреждение', '-', 'следствие', 'конфликт', 'в', 'семья', '.']]"
12,"['административный', 'деление', 'в', 'московский', 'русь', 'отсутствовать', ',', 'а', 'отдельный', 'территория', 'управляться', 'приказ', '—', 'центральный', 'ведомство', ',', 'выполняющий', 'исполнительный', ',', 'управленческий', 'и', 'судебный', 'функция', '.']","[['отдельный', 'территория', 'в', 'московский', 'русь', 'управляться', 'приказ', ',', 'который', 'выполнять', 'исполнительный', ',', 'управленческий', 'и', 'судебный', 'функция', '.'], ['российский', 'государство', 'в', 'средний', 'век', 'не', 'быть', 'поделённый', 'на', 'край', 'и', 'область', '.', 'в', 'то', 'период', 'существовать', 'отдельный', 'территория', '.', 'он', 'управлять', 'из', 'центр', '.'], ['в', 'московский', 'русь', 'территория', 'управлять', 'приказ', '.', 'этот', 'орган', 'власть', 'обладать', 'также', 'полномочие', 'суд', '.'], ['московский', 'русь', 'не', 'делиться', 'на', 'область', ',', 'а', 'некоторый', 'регион', 'управляться', 'центральный', 'ведомство', '.'], ['в', 'московский', 'русь', 'не', 'быть', 'административный', 'деление', ',', 'а', 'отдельный', 'регион', 'управляться', 'центральный', 'ведомство', ',', 'который', 'выполнять', 'многие', 'функция']]"
13,"['административный', 'центр', 'московский', 'область', 'не', 'определённый', ',', 'фактически', '—', 'город', 'москва', ',', 'часть', 'орган', 'государственный', 'власть', 'расположенный', 'в', 'красногорск', '.']","[['по', 'суть', ',', 'красногорск', 'являться', 'центр', 'московский', 'область', '.'], ['территориально', 'город', 'москва', 'и', 'ряд', 'государственный', 'орган', 'находиться', 'в', 'красногорск', '.'], ['так', 'как', 'столица', 'московский', 'область', 'нет', ',', 'тот', 'часть', 'ведомство', 'расположенный', 'в', 'красногорск'], ['административный', 'центр', 'московский', 'область', 'неизвестный', ',', 'на', 'сам', 'дело', '—', 'город', 'москва', ',', 'некоторый', 'орган', 'государственный', 'власть', 'находиться', 'в', 'красногорск', '.']]"
14,"['администрация', 'область', 'не', 'осуществлять', 'контроль', 'за', 'расходование', 'выделенный', 'завод', 'кредит', ',', 'и', 'часть', 'средство', 'быть', 'потраченный', 'нецелевой', 'образ', '.']","[['администрация', 'не', 'следить', 'за', 'выданный', 'деньга', 'завод', '-', 'и', 'часть', 'деньга', 'быть', 'потраченный', 'неправильно'], ['администрация', 'область', 'не', 'проводить', 'контроль', 'за', 'использование', 'деньга', ',', 'который', 'дать', 'завод', '.', 'немного', 'деньга', 'быть', 'потраченный', 'не', 'на', 'тот', 'что', 'нужный', '.'], ['администрация', 'область', 'не', 'проконтролировать', ',', 'на', 'что', 'быть', 'потраченный', 'кредит', 'завод']]"
15,"['адмирал', ',', 'начальствующий', 'над', 'флот', ',', 'известить', 'русский', 'власть', ',', 'что', 'иметь', 'задание', 'ограждать', 'турецкий', 'суд', 'и', 'порт', 'от', 'нападение', 'с', 'русский', 'сторона', '.']","[['адмирал', 'флот', 'сообщить', 'русский', 'власть', ',', 'что', 'он', 'порученный', 'защищать', 'от', 'русский', 'турецкий', 'корабль', 'и', 'порт', '.'], ['адмирал', ',', 'руководящий', 'флот', ',', 'сообщить', 'русский', 'власть', ',', 'что', 'иметь', 'у', 'он', 'задание', 'ограждать', 'турецкий', 'корабль', 'и', 'порт', 'от', 'нападение', 'русский', '.']]"
16,"['азербайджан', ',', 'в', 'отличие', 'от', 'армения', ',', 'не', 'публиковать', 'данные', 'о', 'собственный', 'военный', 'потеря', 'в', 'время', 'конфликт', '.']","[['азербайджан', 'не', 'рассказать', 'о', 'свой', 'военный', 'потеря', ',', 'а', 'армения', 'рассказать', '.'], ['азербайджан', 'скрыть', 'число', 'погибший', 'в', 'время', 'война', 'с', 'армения', '.'], ['данные', 'о', 'жертва', 'конфликт', 'в', 'азербайджан', 'неизвестный', '.'], ['азербайджан', 'не', 'публиковать', 'данные', 'о', 'потеря', 'в', 'время', 'военный', 'конфликт', 'с', 'армения', '.'], ['азербайджан', 'не', 'сообщить', ',', 'сколько', 'солдат', 'погибнуть', '.']]"
17,"['азитромицин', 'входить', 'в', 'российский', 'стандарт', 'медицинский', 'помощь', 'больной', 'пневмония', 'и', 'хронический', 'обструктивный', 'болезнь', 'лёгкий', '.']","[['переть', 'пневмония', 'и', 'обстуктивный', 'болезнь', 'лёгкое', 'азитроммцин', 'являться', 'стандарт', 'оказание', 'помощь', 'больной'], ['полезный', 'и', 'доказанный', 'саойство', 'мплицинский', 'препарат', 'азитромицир', '.'], ['азитромицин', 'назначать', 'больной', 'пневмония', 'и', 'хронический', 'болезнь', 'лёгкий', '.'], ['азитромицин', 'использоваться', 'в', 'российский', 'медицина', 'для', 'лечение', 'пневмония', 'и', 'хронический', 'обструктивный', 'болезнь', 'лёгкий', '.'], ['азитромицин', 'относиться', 'к', 'российский', 'шаблон', 'лечение', 'заболевший', 'пневмония', 'и', 'хронический', 'обструктивный', 'лёгочный', 'болезнь', '.']]"
18,"['азитромицин', 'оказаться', 'эффективный', 'переть', 'лечение', 'хронический', 'обструктивный', 'болезнь', 'лёгкое', 'за', 'счёт', 'подавление', 'воспалительный', 'процесс', '.']","[['азитромицин', '-', 'эффективный', 'средство', 'переть', 'воспаление', 'лёгкий', '.'], ['азитромицин', 'очень', 'хорошо', 'лечить', 'тяжёлый', 'болезнь', 'лёгкое', '.'], ['азитромицин', 'оказаться', 'эффективный', 'переть', 'лечение', 'обструктивный', 'болезнь', 'лёгкий', 'благодаря', 'подавление', 'воспаление', '.'], ['азитромицин', 'хорошо', 'лечить', 'хронический', 'обструктивный', 'болезнь', 'лёгкий', ',', 'так', '.', 'к', '.', 'бороться', 'с', 'воспалительный', 'процесс'], ['азитромицин', 'эффективный', 'переть', 'лечение', 'болезнь', 'лёгкое']]"
19,"['александровский', 'училище', 'даже', 'перейти', 'на', 'сторона', 'революция', 'и', 'участвовать', 'в', 'захват', 'штаб', 'московский', 'военный', 'округ', '.']","[['революционный', 'александровский', 'училище', 'захватить', 'штаб', '.'], ['александровский', 'училище', 'перейти', 'на', 'сторона', 'революция', 'и', 'участвовать', 'в', 'захват', 'штаб', '.'], ['александровский', 'училище', 'перейти', 'на', 'сторона', 'революция', 'и', 'принять', 'участие', 'в', 'в', 'захват', 'штаб', 'московский', 'военный', 'округ', '.'], ['учащийся', 'и', 'преподаватель', 'александровский', 'училище', 'участвовать', 'вместе', 'с', 'большевик', 'в', 'захват', 'штаб', 'московский', 'военный', 'округ', '.'], ['в', 'взятие', 'штаб', 'московский', 'военный', 'округ', 'принимать', 'участие', 'александровский', 'училище', ',', 'перешедший', 'на', 'революционный', 'сторона', '.']]"
20,"['алма-ата', '—', 'лёгкий', 'и', 'пищевой', 'промышленность', ',', 'машиностроение', ';', 'и', 'тараз', '—', 'машиностроение', ',', 'химический', 'и', 'пищевой', 'промышленность', '.']","[['в', 'алма-ата', 'развитой', 'лёгкий', 'и', 'пищевой', 'промышленность', ',', 'машиностроение', ';', 'а', 'в', 'тараз', '-', 'машиностроение', ',', 'химический', 'и', 'пищевой', 'промышленность', '.'], ['алма-ата', '—', 'лёгкий', 'и', 'пищевой', 'индустриюй', 'машиностроение', ';', 'и', 'тараз', '—', 'машиностроение', ',', 'хим', 'и', 'пищевой', 'индустрия', '.'], ['в', 'алма-ата', 'развитой', 'лёгкий', 'промышленность', ',', 'а', 'втараз', '-', 'химический', ';', 'пищевой', ',', 'машиностроение', '-', 'в', 'оба', 'город', '.'], ['алма', '-', 'ата', 'заниматься', 'производство', 'ткань', 'и', 'продукт', ',', 'тараз', '-', 'производить', 'машина', 'и', 'химический', 'продукт', '.'], ['город', 'тараз', '-', 'это', 'машиностроение', ',', 'химический', 'и', 'пищевой', 'промышленность', ',', 'а', 'в', 'алма-', 'ата', 'преобладать', 'лёгкий', 'и', 'пищевой', 'промышленность', '.']]"
21,"['американец', 'стать', 'делать', 'вид', ',', 'что', 'готовиться', 'к', 'осада', 'нью-йорк', ',', 'а', 'основный', 'армия', 'направить', 'на', 'юг', '.']","[['американец', 'готовиться', 'к', 'осада', 'нью-йорк', ',', 'а', 'основный', 'армия', 'направить', 'на', 'юг', '.'], ['американец', 'делать', 'вид', ',', 'что', 'готовиться', 'к', 'осада', 'нью-йорк', ',', 'а', 'армия', 'направить', 'на', 'юг', '.'], ['американец', 'не', 'собираться', 'нападать', 'на', 'нью', 'йорк', '.'], ['американец', 'внушить', 'весь', ',', 'что', 'готовить', 'осада', 'нью-йорк', ',', 'но', 'основна', 'армия', 'направить', 'на', 'юг', '.']]"
22,"['анализ', 'подгруппа', 'показывать', ',', 'что', 'эффект', 'на', 'боль', 'и', 'функция', 'не', 'различаться', 'в', 'зависимость', 'от', 'доза', 'парацетамол', '.']","[['переть', 'любой', 'доза', 'выпитый', 'лекарство', 'парацетамол', 'эффект', 'на', 'боль', 'и', 'функция', 'быть', 'одинаковый'], ['изменение', 'доза', 'парацетомол', 'не', 'повлиять', 'на', 'состояние', 'боль'], ['по', 'анализ', 'подгруппа', 'видно', ':', 'величина', 'доза', 'парацетамол', 'не', 'влиять', 'на', 'боль', 'и', 'функция', '.'], ['из', 'анализ', 'подгруппа', 'следовать', ',', 'что', 'болевой', 'и', 'функциональный', 'эффект', 'не', 'зависеть', 'от', 'доза', 'парацетамол', '.'], ['быть', 'доказанный', ',', 'что', 'приём', 'парацетамол', 'помогать', 'переть', 'весь', 'вид', 'боль', '.']]"
23,"['аналогичный', 'товар', ',', 'а', 'также', 'серебро', 'и', 'ценный', 'изделие', 'из', 'дерево', ',', 'украшенный', 'золото', 'и', 'слоновый', 'кость', ',', 'египтянин', 'получать', 'из', 'вавилон', '.']","[['египтянин', 'получать', 'из', 'вавилон', 'похожий', 'товар', ',', 'а', 'также', 'серебро', 'и', 'изделие', 'из', 'дерево', ',', 'украшенный', 'золото', 'и', 'слоновый', 'кость', '.'], ['серебро', ',', 'золото', 'и', 'украшение', 'египтянин', 'привозить', 'из', 'вавилон', '.'], ['в', 'египет', 'украшение', 'и', 'драгоценность', 'привозить', 'из', 'вавилон', '.'], ['драгоценный', 'металл', 'и', 'ценный', 'изделие', 'египтянин', 'получать', 'из', 'вавилон', '.'], ['египтянин', 'получать', 'из', 'вавилон', 'серебро', ',', 'ценный', 'изделие', 'из', 'дерево', ',', 'украшенный', 'золото', 'и', 'слоновый', 'кость', '.']]"
24,"['английский', 'язык', 'иметь', 'многовековый', 'история', 'становление', ',', 'развитие', 'и', 'территориальный', 'распространение', ',', 'который', 'неразрывно', 'связанный', 'с', 'изменение', 'язык', ',', 'происходящий', 'с', 'течение', 'время', ',', 'а', 'также', 'географический', 'и', 'социальный', 'разнообразие', 'он', 'употребление', '.']","[['многовековый', 'становление', ',', 'развитие', 'и', 'распространение', 'английский', 'язык', 'неразрывно', 'связанный', 'с', 'изменение', 'с', 'течение', 'время', ',', 'географический', 'и', 'социальный', 'разнообразие', 'он', 'употребление', '.'], ['английский', 'язык', 'иметь', 'длительный', 'история', 'становление', ',', 'который', 'связанный', 'с', 'он', 'изменение', 'в', 'время', ',', 'территориальный', 'и', 'социальный', 'разнообразие', 'употребление', '.'], ['история', 'английский', 'язык', 'связанный', 'с', 'он', 'изменение', 'в', 'течение', 'время', ',', 'с', 'географический', 'и', 'социальный', 'разнообразие', '.']]"
25,"['аристотель', 'приводить', 'множество', 'топ', ':', 'многозначность', 'слово', ',', 'путаница', 'род', 'и', 'вид', ',', 'ошибочный', 'терминология', 'и', 'так', 'далее', '.']","[['аристотель', 'описывать', 'разный', 'вариант', 'проблема', 'переть', 'ведение', 'беседа', ',', 'это', 'и', 'разный', 'значение', 'слово', ',', 'и', 'ошибка', 'в', 'термин', 'и', 'другой', 'подобный', '.'], ['аристотель', 'называть', 'много', 'топ', ':', '.', 'это', 'неправильный', 'терминология', ',', 'многозначность', 'слово', ',', 'не', 'различение', 'род', 'и', 'вид', 'и', 'другой', '.']]"
26,"['армия', 'сопровождать', 'больший', 'толпа', 'небоеспособный', 'человек', ',', 'главный', 'образ', 'потерявший', 'оружие', 'солдат', 'из', 'союзный', 'государство', '.']","[['за', 'армия', 'идти', 'больший', 'толпа', 'человек', ',', 'который', 'не', 'мочь', 'сражаться', '.', 'в', 'основный', 'это', 'быть', 'солдат', 'из', 'дружеский', 'армия', ',', 'который', 'потерять', 'свой', 'оружие', '.'], ['армия', 'сопровождать', 'толпа', 'человек', 'без', 'боевой', 'подготовка', ',', 'в', 'основный', 'солдат', 'без', 'оружие', 'из', 'союзный', 'государство'], ['армия', 'сопровождать', 'солдат', 'из', 'союзный', 'государство', ',', 'потерявший', 'оружие'], ['к', 'армия', 'присоединиться', 'и', 'невооружённый', 'человек', '.'], ['армия', 'сопровождать', 'небоеспособный', 'человек', '-', 'потерявший', 'оружие', 'солдат', 'из', 'союзный', 'государство', '.']]"
27,"['армия', 'снова', 'страдать', 'от', 'нехватка', 'одежда', 'и', 'снаряжение', ',', 'а', 'валюта', 'обесцениться', 'настолько', ',', 'что', 'конгресс', 'велеть', 'штат', 'сам', 'выплачивать', 'жалование', 'ополченец', '.']","[['в', 'войско', 'быть', 'острый', 'недостаток', 'обмундирование', 'и', 'снаряжение', '.', 'деньга', 'девальвироваться', ',', 'поэтому', 'конгресс', 'приказать', 'штат', 'сам', 'платить', 'жалование', 'ополченец', '.'], ['штат', 'быть', 'велено', 'содержать', 'ополченец', '.'], ['армия', 'не', 'хватать', 'одежда', ',', 'снаряжение', '.', 'деньга', 'страна', 'совсем', 'обесцениться', 'и', 'штат', 'должный', 'быть', 'сам', 'платить', 'военный', 'за', 'служба', '.']]"
28,"['армянский', 'сторона', 'в', 'конфликт', 'представлять', 'народный', 'правительство', 'карабах', ',', 'поздний', 'известный', 'как', 'армянский', 'национальный', 'совет', 'карабах', '.']","[['в', 'это', 'спор', 'за', 'армянин', 'выступать', 'народный', 'правительство', 'карабах', '.', 'потом', 'он', 'переименовать', 'в', 'армянский', 'национальный', 'совет', 'карабах', '.'], ['армянский', 'сторона', 'представлять', 'народный', 'правительство', 'карабах', ',', 'или', 'армянский', 'национальный', 'совет', 'карабах', '.'], ['армения', 'представлять', 'армянский', 'национальный', 'совет', 'карабах', '.']]"
29,"['археолог', 'обнаружить', 'в', 'черта', 'город', 'артефакт', ',', 'датирующийся', 'эпоха', 'бронза', ',', 'ранний', 'железный', 'век', 'и', 'средневековье', '.']","[['археолог', 'обнаружить', 'в', 'черта', 'город', 'находка', ',', 'который', 'быть', 'созданный', 'в', 'эпоха', 'бронза', ',', 'в', 'ранний', 'железный', 'век', 'и', 'средневековье', '.'], ['археолог', 'обнаружить', 'артефакт', 'бронзовый', 'эпоха', ',', 'ранний', 'железный', 'век', 'и', 'средневековье', '.'], ['археолог', 'найти', 'в', 'черта', 'город', 'предмет', 'из', 'бронзовый', 'и', 'ранний', 'железный', 'век', ',', 'а', 'также', 'из', 'средневековье', '.'], ['артефакт', 'найти', 'в', 'город', 'артефакт', 'эпоха', 'бронза', ',', 'ранний', 'железный', 'век', 'и', 'средневековье', '.'], ['в', 'черта', 'город', 'археолог', 'найти', 'артефакт', 'эпоха', 'бронза', ',', 'ранний', 'железный', 'век', 'и', 'средневековье', '.']]"
30,"['аспирин', 'обычно', 'неэффективный', 'для', 'лечение', 'боль', ',', 'вызванный', 'мышечный', 'судорога', ',', 'вздутие', 'живот', ',', 'растяжение', 'желудок', 'или', 'острый', 'раздражение', 'кожа', '.']","[['аспирин', 'не', 'применяться', 'для', 'лечение', 'боль'], ['аспирин', 'обычно', 'неэффективный', 'для', 'лечение', 'боль'], ['аспирин', 'не', 'лечить', 'раздражение', 'кожа', ',', 'растяжение', 'желудок', 'или', 'вздутие', 'живот', ',', 'а', 'так', 'же', 'мышечный', 'судорога', '.'], ['аспирин', 'не', 'лечить', 'судорога', ',', 'проблема', 'с', 'живот', 'и', 'кожа'], ['аспирин', 'плохо', 'помогать', 'переть', 'мышечный', 'судорога', ',', 'желудочный', 'проблема', 'или', 'раздражение', 'кожа']]"
31,"['атлантический', 'течение', ',', 'разогретый', 'гольфстрим', ',', 'приносить', 'мягкий', 'зима', ';', 'иногда', 'зима', 'и', 'ранний', 'весна', 'здесь', 'бывать', 'снегопад', ',', 'хотя', 'снег', 'обычно', 'лежать', 'недолго', '.']","[['течение', ',', 'разогретый', 'гольфстрим', ',', 'приносить', 'мягкий', 'зима', ',', 'со', 'снегопад', ',', 'но', 'снег', 'лежать', 'недолго', '.'], ['зима', 'здесь', 'мягкий', ',', 'иногда', 'бывать', 'снегопад', '.']]"
32,"['атлантический', 'океан', 'иметь', 'сильно', 'изрезанный', 'береговой', 'линия', 'с', 'выраженный', 'деление', 'на', 'региональный', 'акватория', ':', 'море', 'и', 'залив', '.']","[['атлантический', 'океан', 'неровный', 'и', 'делиться', 'на', 'море', 'и', 'залив', '.'], ['вдоль', 'берег', 'атлантический', 'океан', 'быть', 'море', 'и', 'залив', '.'], ['для', 'атлантический', 'океан', 'характерный', 'сильно', 'изрезанный', 'береговой', 'линия', 'и', 'выраженный', 'деление', 'море', 'и', 'залив', '.'], ['берег', 'атлантический', 'океан', 'неровный', ',', 'с', 'море', 'и', 'залив', '.'], ['берег', 'атлантический', 'океан', 'изрезанный', 'море', 'и', 'залив', '.']]"
33,"['ацетилсалициловый', 'кислота', 'также', 'снижать', 'риск', 'заболеть', 'рак', ',', 'в', 'частность', ',', 'молочный', 'железа', 'и', 'толстый', 'кишка', '.']","[['аспирин', 'помогать', 'предотвратить', 'рак', 'грудь', 'и', 'толстый', 'кишка', '.'], ['ацетилсалициловый', 'кислота', 'снижать', 'риск', 'заболеть', 'рак', ',', 'в', 'частность', ',', 'молочный', 'железа', 'и', 'толстый', 'кишка', '.'], ['аспирин', 'снижать', 'риск', 'заболеть', 'рак', '.'], ['аспирин', 'снижать', 'риск', 'заболевание', 'рак', ',', 'в', 'том', 'число', 'молочный', 'железа', 'и', 'толстый', 'кишка', '.'], ['лекарство', 'аспирин', 'помогать', 'человек', 'не', 'заболеть', 'рак', 'грудь', 'и', 'кишечник']]"
